k (Features);Categoria;Modelo;AUC-ROC (Média ± Std);F1-Score;Sensibilidade;Especificidade;vs Benchmark
25;ML Clássico;SVM;0.6620 ± 0.1270;0.6172;0.6583;0.5676;ABAIXO
25;ML Clássico;ENSEMBLE;0.6566 ± 0.1270;0.6026;0.6250;0.5731;ABAIXO
25;Deep Learning;TRANSFORMER;0.4201 ± 0.1129;0.2613;0.4000;0.6000;ABAIXO
25;Deep Learning;HYBRID;0.5781 ± 0.1157;0.4778;0.4500;0.6917;ABAIXO
16;ML Clássico;SVM;0.6964 ± 0.1289;0.6687;0.7167;0.5778;ABAIXO
16;ML Clássico;ENSEMBLE;0.6880 ± 0.0848;0.6040;0.6167;0.6287;ABAIXO
16;Deep Learning;TRANSFORMER;0.4524 ± 0.0616;0.4000;0.6000;0.4000;ABAIXO
16;Deep Learning;HYBRID;0.6976 ± 0.1559;0.6206;0.5750;0.7250;ABAIXO
12;ML Clássico;SVM;0.6964 ± 0.1289;0.6687;0.7167;0.5778;ABAIXO
12;ML Clássico;ENSEMBLE;0.6880 ± 0.0848;0.6040;0.6167;0.6287;ABAIXO
12;Deep Learning;TRANSFORMER;0.6049 ± 0.0816;0.4667;0.6250;0.4222;ABAIXO
12;Deep Learning;HYBRID;0.7260 ± 0.1544;0.6550;0.6500;0.6833;ABAIXO
8;ML Clássico;SVM;0.6964 ± 0.1289;0.6687;0.7167;0.5778;ABAIXO
8;ML Clássico;ENSEMBLE;0.6880 ± 0.0848;0.6040;0.6167;0.6287;ABAIXO
8;Deep Learning;TRANSFORMER;0.5712 ± 0.0722;0.1467;0.1250;0.9028;ABAIXO
8;Deep Learning;HYBRID;0.7052 ± 0.1228;0.5790;0.5750;0.7111;ABAIXO
